Course Name,University,Difficulty Level,Course Rating,Course URL,Skills
Write A Feature Length Screenplay For Film Or Television,Michigan State University,Beginner,4.8,https://www.coursera.org/learn/write-a-feature-length-screenplay-for-film-or-television,Drama Comedy peering screenwriting film Document Review dialogue creative writing Writing unix shells arts-and-humanities music-and-art
Business Strategy: Business Model Canvas Analysis with Miro,Coursera Project Network,Beginner,4.8,https://www.coursera.org/learn/canvas-analysis-miro,Finance business plan persona (user experience) business model canvas Planning Business project Product Development presentation Strategy business business-strategy
Silicon Thin Film Solar Cells,ï¿½cole Polytechnique,Advanced,4.1,https://www.coursera.org/learn/silicon-thin-film-solar-cells,chemistry physics Solar Energy film lambda calculus Electrical Engineering electronics energy silicon thinning physical-science-and-engineering electrical-engineering
Finance for Managers,IESE Business School,Intermediate,4.8,https://www.coursera.org/learn/operational-finance,accounts receivable dupont analysis analysis Accounting Finance Operations Management Leadership and Management balance sheet inventory Financial Analysis business finance
Retrieve Data using Single-Table SQL Queries,Coursera Project Network,Beginner,4.6,https://www.coursera.org/learn/single-table-sql-queries,Data Analysis select (sql) database management systems online shopping table (database) data retrieval Databases web page numbers (spreadsheet) SQL information-technology data-management
Building Test Automation Framework using Selenium and TestNG,Coursera Project Network,Beginner,4.7,https://www.coursera.org/learn/building-test-automation-framework-using-selenium-and-testng,maintenance test case test automation screenshot project helper class selenium reusability debugging php computer-science software-development
Doing Business in China Capstone,The Chinese University of Hong Kong,Advanced,3.3,https://www.coursera.org/learn/doing-business-in-China-capstone,marketing plan Planning Marketing consumption (economics) wait (system call) business plan strategic planning audience project Writing business business-strategy
"Programming Languages, Part A",University of Washington,Intermediate,4.9,https://www.coursera.org/learn/programming-languages,inference ml (programming language) higher-order function functional programming type inference pattern matching euler's totient function language ?-recursive function Computer Programming computer-science software-development
The Roles and Responsibilities of Nonprofit Boards of Directors within the Governance Process,The State University of New York,Intermediate,4.3,https://www.coursera.org/learn/nonprofit-gov-2,Planning Peer Review fundraising strategic planning resource concept testing leadership measurement performance evaluation business leadership-and-management
Business Related to Russian Communication. Part 3,Saint Petersburg State University,Intermediate,Not Calibrated,https://www.coursera.org/learn/business-Related to Russian-communication-3,Related to Russian market (economics) tax exemption cooperation Communication Taxes adjective h.e.a.r. listening c dynamic memory allocation language-learning other-languages
